gold_sentence,comp_sentence,id,comp_id,gold_form,comp_form,gold_empty_type,comp_empty_type,lemma,morph,attachment,label_attachment,empty_token_sort,slash_number,gold_slashes,comp_slashes,slash_relation,slash_target,relation_match,pos_match,morph_match,gold_slash_rel,comp_slash_rel
385013,50089,5008449,1,Альбертини,Альбертини,,,true,true,true,true,true,true,0,0,no slash,no slash,sub:sub,Nb:Nb,-s---mn--i:-s---mn--i,no slash,no slash
385013,50089,5008450,2,удостоен,удостоен,,,true,true,true,true,true,true,1,1,true,true,xobj:xobj,V-:V-,-suppmn-si:-suppmn-si,xsub,xsub
385013,50089,5008451,3,этой,этой,,,true,true,true,true,true,true,0,0,no slash,no slash,atr:atr,Pd:Pd,-s---fg--i:-s---fg--i,no slash,no slash
385013,50089,5008452,4,награды,награды,,,true,true,true,true,true,true,0,0,no slash,no slash,obl:obl,Nb:Nb,-s---fg--i:-s---fg--i,no slash,no slash
385013,50089,5008453,5,за,за,,,true,true,true,true,true,true,0,0,no slash,no slash,adv:adv,R-:R-,---------n:---------n,no slash,no slash
385013,50089,5008454,6,большой,большой,,,true,true,true,true,true,true,0,0,no slash,no slash,atr:atr,A-:A-,-s---mapwi:-s---mapwi,no slash,no slash
385013,50089,5008455,7,вклад,вклад,,,true,true,true,true,true,true,0,0,no slash,no slash,obl:obl,Nb:Nb,-s---ma--i:-s---ma--i,no slash,no slash
385013,50089,5008456,8,в,в,,,true,true,true,true,true,true,0,0,no slash,no slash,narg:narg,R-:R-,---------n:---------n,no slash,no slash
385013,50089,5008457,9,развитие,развитие,,,true,true,true,true,true,true,0,0,no slash,no slash,obl:obl,Nb:Nb,-s---na--i:-s---na--i,no slash,no slash
385013,50089,5008458,10,сотрудничества,сотрудничества,,,true,true,true,true,true,true,0,0,no slash,no slash,narg:narg,Nb:Nb,-s---ng--i:-s---ng--i,no slash,no slash
385013,50089,5008459,11,между,между,,,true,true,true,true,true,true,0,0,no slash,no slash,atr:atr,R-:R-,---------n:---------n,no slash,no slash
385013,50089,5008460,12,двумя,двумя,,,true,true,true,true,true,true,0,0,no slash,no slash,atr:atr,Ma:Ma,-x---xi--i:-x---xi--i,no slash,no slash
385013,50089,5008461,13,странами,странами,,,true,true,true,true,true,true,0,0,no slash,no slash,obl:obl,Nb:Nb,-p---fi--i:-p---fi--i,no slash,no slash
385013,50089,5008462,1000,,,V,V,true,true,true,true,true,true,0,0,no slash,no slash,pred:pred,:,:,no slash,no slash
385014,30218,5008463,1,По,По,,,true,true,true,true,true,true,1,1,true,true,xobj:xobj,R-:R-,---------n:---------n,xsub,xsub
385014,30218,5008464,2,словам,словам,,,true,true,true,true,true,true,0,0,no slash,no slash,obl:obl,Nb:Nb,-p---nd--i:-p---nd--i,no slash,no slash
385014,30218,5008465,3,нашего,нашего,,,true,true,true,true,true,true,0,0,no slash,no slash,atr:atr,Ps:Ps,1s---mg--i:1s---mg--i,no slash,no slash
385014,30218,5008466,4,собеседника,собеседника,,,true,true,true,true,true,true,0,0,no slash,no slash,atr:atr,Nb:Nb,-s---mg--i:-s---mg--i,no slash,no slash
385014,30218,5008467,5,от,от,,,true,true,true,true,true,true,0,0,no slash,no slash,obl:obl,R-:R-,---------n:---------n,no slash,no slash
385014,30218,5008468,6,дефляции,дефляции,,,true,true,true,true,true,true,0,0,no slash,no slash,obl:obl,Nb:Nb,-s---fg--i:-s---fg--i,no slash,no slash
385014,30218,5008469,7,мы,мы,,,true,true,true,true,true,true,0,0,no slash,no slash,sub:sub,Pp:Pp,1p---xn--i:1p---xn--i,no slash,no slash
385014,30218,5008470,8,защищены,защищены,,,true,true,true,true,true,true,1,1,true,true,xobj:xobj,V-:V-,-puppxn-si:-puppxn-si,xsub,xsub
385014,30218,5008471,9,высокими,высокими,,,true,true,true,true,true,true,0,0,no slash,no slash,atr:atr,A-:A-,-p---xipwi:-p---xipwi,no slash,no slash
385014,30218,5008472,10,темпами,темпами,,,true,true,true,false,true,true,0,0,no slash,no slash,obl:ag,Nb:Nb,-p---mi--i:-p---mi--i,no slash,no slash
385014,30218,5008473,11,развития,развития,,,true,true,true,true,true,true,0,0,no slash,no slash,atr:atr,Nb:Nb,-s---ng--i:-s---ng--i,no slash,no slash
